wavelength (nm),absorption (m^-1),scattering (m^-1)
457,0.00955956,0.00426447
458,0.00959539,0.00422474
459,0.00967982,0.00418548
460,0.00979,0.00414666
461,0.00990738,0.00410829
462,0.010011,0.00407036
463,0.0100767,0.00403286
464,0.0101028,0.00399579
465,0.01011,0.00395914
466,0.0101179,0.0039229
467,0.0101567,0.00388707
468,0.0102648,0.00385165
469,0.0104326,0.00381663
470,0.0106,0.003782
471,0.0107245,0.00374776
472,0.0108354,0.0037139
473,0.0109773,0.00368042
474,0.0111674,0.00364732
475,0.0114,0.00361458
476,0.0116718,0.0035822
477,0.011959,0.00355018
478,0.0122352,0.00351852
479,0.0124849,0.00348721
480,0.0127,0.00345623
481,0.0128733,0.00342561
482,0.0130249,0.00339531
483,0.0131786,0.00336535
484,0.0133594,0.00333571
485,0.0136,0.00330639
486,0.0139217,0.0032774
487,0.0142562,0.00324872
488,0.0145167,0.00322035
489,0.0147218,0.00319228
490,0.015,0.00316451
491,0.015446,0.00313705
492,0.0159605,0.00310988
493,0.0164104,0.003083
494,0.0168052,0.00305641
495,0.0173,0.0030301
496,0.0180044,0.00300407
497,0.0187652,0.00297832
498,0.0193765,0.00295284
499,0.0198465,0.00292763
500,0.0204,0.00290269
501,0.0212178,0.00287801
502,0.0222398,0.00285358
503,0.0233812,0.00282942
504,0.0245457,0.00280551
505,0.0256,0.00278185
506,0.0264707,0.00275843
507,0.0274033,0.00273526
508,0.0287338,0.00271232
509,0.0305091,0.00268963
510,0.0325,0.00266717
511,0.0345183,0.00264495
512,0.0363866,0.00262295
513,0.0378981,0.00260118
514,0.0389658,0.00257963
515,0.0396,0.0025583
516,0.0398008,0.00253719
517,0.0398401,0.00251629
518,0.0400304,0.00249561
519,0.040438,0.00247514
520,0.0409,0.00245488
521,0.0412824,0.00243482
522,0.0415368,0.00241496
523,0.0416143,0.00239531
524,0.0415934,0.00237585
525,0.0417,0.00235659
526,0.0420963,0.00233752
527,0.0425947,0.00231864
528,0.0429418,0.00229995
529,0.043131,0.00228144
530,0.0434,0.00226312
531,0.0439153,0.00224499
532,0.0444835,0.00222703
533,0.0448345,0.00220925
534,0.0449769,0.00219164
535,0.0452,0.00217421
536,0.0457133,0.00215695
537,0.0463335,0.00213986
538,0.0468017,0.00212294
539,0.0470912,0.00210618
540,0.0474,0.00208959
541,0.0478872,0.00207315
542,0.0485314,0.00205688
543,0.0492963,0.00204077
544,0.0501581,0.00202481
545,0.0511,0.002009
546,0.0521145,0.00199335
547,0.0531686,0.00197785
548,0.054231,0.0019625
549,0.0553184,0.0019473
550,0.0565,0.00193224
551,0.0577925,0.00191733
552,0.0589193,0.00190255
553,0.0595041,0.00188792
554,0.0595803,0.00187343
555,0.0596,0.00185907
556,0.059897,0.00184486
557,0.0603632,0.00183077
558,0.0608166,0.00181682
559,0.0612635,0.001803
560,0.0619,0.00178931
561,0.062843,0.00177575
562,0.063732,0.00176232
563,0.064085,0.00174901
564,0.0640037,0.00173582
565,0.0642,0.00172276
566,0.0652007,0.00170983
567,0.0665711,0.00169701
568,0.0677101,0.00168431
569,0.0685426,0.00167172
570,0.0695,0.00165926
571,0.0709048,0.00164691
572,0.0725209,0.00163467
573,0.0740183,0.00162254
574,0.0754374,0.00161053
575,0.0772,0.00159863
576,0.0796204,0.00158683
577,0.0823143,0.00157514
578,0.084779,0.00156356
579,0.0870291,0.00155209
580,0.0896,0.00154072
581,0.0929306,0.00152945
582,0.0968246,0.00151828
583,0.101031,0.00150722
584,0.10543,0.00149625
585,0.11,0.00148538
586,0.11474,0.00147462
587,0.119573,0.00146394
588,0.12443,0.00145337
589,0.129465,0.00144289
590,0.1351,0.0014325
591,0.141631,0.0014222
592,0.1484,0.00141199
593,0.154571,0.00140188
594,0.16038,0.00139186
595,0.1672,0.00138192
596,0.176172,0.00137207
597,0.186786,0.00136231
598,0.198406,0.00135264
599,0.210481,0.00134305
600,0.2224,0.00133354
601,0.233525,0.00132412
602,0.243112,0.00131478
603,0.250112,0.00130552
604,0.254581,0.00129634
605,0.2577,0.00128724
606,0.260227,0.00127822
607,0.262196,0.00126928
608,0.26338,0.00126042
609,0.263926,0.00125163
610,0.2644,0.00124292
611,0.2652,0.00123429
612,0.266112,0.00122572
613,0.266797,0.00121723
614,0.267251,0.00120882
615,0.2678,0.00120047
616,0.268716,0.0011922
617,0.269966,0.001184
618,0.271507,0.00117587
619,0.273338,0.0011678
620,0.2755,0.00115981
621,0.277971,0.00115188
622,0.280203,0.00114402
623,0.28149,0.00113623
624,0.282111,0.0011285
625,0.2834,0.00112084
626,0.286265,0.00111324
627,0.289361,0.00110571
628,0.290849,0.00109824
629,0.290873,0.00109083
630,0.2916,0.00108348
631,0.294565,0.0010762
632,0.298175,0.00106897
633,0.300198,0.00106181
634,0.300535,0.0010547
635,0.3012,0.00104765
636,0.303627,0.00104066
637,0.30659,0.00103374
638,0.308329,0.00102686
639,0.309016,0.00102004
640,0.3108,0.00101328
641,0.315183,0.00100658
642,0.320167,0.000999928
643,0.323018,0.000993332
644,0.323725,0.00098679
645,0.325,0.0009803
